iter	Passed	Remaining
955	41277	88254
956	41315	88200
957	41358	88157
958	41397	88104
959	41433	88047
960	41470	87990
961	41514	87949
962	41555	87900
963	41595	87850
964	41643	87817
965	41686	87774
966	41727	87727
967	41771	87686
968	41809	87632
969	41858	87601
970	41904	87563
971	41944	87512
972	41985	87466
973	42029	87425
974	42070	87377
975	42115	87338
976	42162	87303
977	42213	87275
978	42263	87246
979	42309	87208
980	42351	87164
981	42407	87147
982	42459	87121
983	42497	87068
984	42540	87024
985	42582	86977
986	42621	86926
987	42659	86873
988	42703	86832
989	42749	86794
990	42793	86753
991	42842	86720
992	42897	86701
993	42944	86666
994	42989	86626
995	43034	86587
996	43075	86540
997	43121	86502
998	43162	86455
999	43206	86412
1000	43266	86403
1001	43309	86358
1002	43354	86320
1003	43401	86283
1004	43441	86235
1005	43481	86185
1006	43520	86133
1007	43561	86085
1008	43606	86046
1009	43645	85994
1010	43688	85950
1011	43736	85917
1012	43777	85868
1013	43816	85817
1014	43857	85770
1015	43897	85720
1016	43939	85676
1017	43986	85640
1018	44025	85589
1019	44066	85540
1020	44108	85495
1021	44157	85464
1022	44199	85417
1023	44246	85381
1024	44287	85334
1025	44326	85282
1026	44371	85243
1027	44418	85208
1028	44459	85160
1029	44498	85108
1030	44541	85064
1031	44578	85010
1032	44617	84959
1033	44655	84906
1034	44700	84865
1035	44742	84820
1036	44788	84782
1037	44827	84732
1038	44871	84690
1039	44910	84639
1040	44954	84598
1041	44999	84558
1042	45042	84513
1043	45081	84463
1044	45130	84431
1045	45177	84394
1046	45223	84356
1047	45261	84303
1048	45307	84265
1049	45345	84213
1050	45389	84171
1051	45429	84121
1052	45471	84076
1053	45508	84022
1054	45546	83970
1055	45587	83922
1056	45628	83874
1057	45671	83831
1058	45711	83782
1059	45748	83727
1060	45796	83693
1061	45843	83657
1062	45886	83613
1063	45929	83570
1064	45974	83531
1065	46021	83495
1066	46072	83466
1067	46112	83417
1068	46154	83371
1069	46190	83316
1070	46229	83264
1071	46269	83215
1072	46309	83166
1073	46350	83119
1074	46393	83077
1075	46435	83030
1076	46476	82984
1077	46517	82936
1078	46557	82889
1079	46599	82844
1080	46641	82797
1081	46692	82769
1082	46751	82754
1083	46810	82739
1084	46854	82697
1085	46894	82647
1086	46935	82600
1087	46974	82550
1088	47011	82496
1089	47059	82462
1090	47103	82419
1091	47142	82369
1092	47178	82314
1093	47221	82270
1094	47264	82227
1095	47312	82192
1096	47367	82169
1097	47426	82154
1098	47483	82134
1099	47538	82112
1100	47591	82085
1101	47648	82065
1102	47705	82045
1103	47761	82024
1104	47829	82023
1105	47887	82005
1106	47944	81986
1107	47993	81953
1108	48034	81906
1109	48074	81856
1110	48119	81815
1111	48160	81768
1112	48202	81723
1113	48247	81683
1114	48290	81639
1115	48330	81590
1116	48374	81548
1117	48414	81498
1118	48458	81456
1119	48498	81408
1120	48545	81370
1121	48591	81332
1122	48633	81286
1123	48675	81241
1124	48712	81187
1125	48757	81146
1126	48804	81109
1127	48852	81074
1128	48898	81035
1129	48942	80993
1130	48994	80963
1131	49039	80923
1132	49084	80883
1133	49124	80834
1134	49168	80791
1135	49206	80740
1136	49252	80700
1137	49298	80662
1138	49346	80626
1139	49392	80587
1140	49445	80559
1141	49486	80512
1142	49531	80472
1143	49569	80420
1144	49607	80367
1145	49645	80317
1146	49692	80279
1147	49737	80239
1148	49781	80196
1149	49831	80163
1150	49879	80128
1151	49927	80091
1152	49977	80058
1153	50030	80032
1154	50074	79988
1155	50129	79964
1156	50171	79918
1157	50220	79884
1158	50270	79852
1159	50321	79820
1160	50363	79774
1161	50418	79749
1162	50466	79713
1163	50509	79668
1164	50553	79626
1165	50603	79594
1166	50649	79554
1167	50697	79519
1168	50743	79478
1169	50791	79443
1170	50829	79391
1171	50870	79343
1172	50920	79311
1173	50965	79269
1174	51007	79224
1175	51053	79184
1176	51090	79132
1177	51132	79085
1178	51180	79049
1179	51218	78998
1180	51262	78954
1181	51307	78914
1182	51348	78868
1183	51388	78819
1184	51431	78774
1185	51478	78736
1186	51524	78697
1187	51564	78648
1188	51604	78599
1189	51643	78550
1190	51687	78508
1191	51733	78467
1192	51781	78431
1193	51828	78394
1194	51872	78351
1195	51930	78330
1196	51972	78284
1197	52020	78248
1198	52070	78214
1199	52117	78175
1200	52159	78130
1201	52209	78096
1202	52250	78049
1203	52291	78003
1204	52330	77953
1205	52370	77903
1206	52413	77860
1207	52462	77825
1208	52514	77793
1209	52567	77765
1210	52611	77723
1211	52657	77682
1212	52698	77635
1213	52739	77589
1214	52794	77562
1215	52836	77516
1216	52883	77479
1217	52937	77450
1218	52974	77398
1219	53020	77358
1220	53063	77314
1221	53110	77274
1222	53149	77226
1223	53192	77181
1224	53240	77144
1225	53290	77109
1226	53328	77059
1227	53370	77013
1228	53412	76968
1229	53455	76924
1230	53495	76874
1231	53535	76826
1232	53574	76777
1233	53617	76732
1234	53656	76683
1235	53692	76628
1236	53734	76584
1237	53775	76537
1238	53816	76489
1239	53855	76440
1240	53892	76386
1241	53931	76337
1242	53967	76284
1243	54010	76240
1244	54052	76194
1245	54097	76152
1246	54146	76117
1247	54192	76078
1248	54235	76033
1249	54279	75990
1250	54316	75938
1251	54363	75899
1252	54408	75859
1253	54447	75809
1254	54489	75764
1255	54535	75724
1256	54577	75678
1257	54614	75627
1258	54658	75583
1259	54699	75537
1260	54741	75491
1261	54781	75443
1262	54822	75397
1263	54867	75356
1264	54906	75306
1265	54944	75255
1266	54985	75208
1267	55032	75171
1268	55072	75122
1269	55114	75077
1270	55154	75029
1271	55197	74985
1272	55238	74938
1273	55278	74890
1274	55320	74845
1275	55364	74803
1276	55408	74760
1277	55456	74723
1278	55494	74672
1279	55531	74620
1280	55569	74569
1281	55609	74522
1282	55657	74484
1283	55701	74441
1284	55742	74395
1285	55780	74344
1286	55822	74300
1287	55869	74260
1288	55911	74215
1289	55956	74174
1290	55993	74123
1291	56033	74075
1292	56078	74033
1293	56120	73988
1294	56164	73946
1295	56206	73901
1296	56247	73854
1297	56290	73810
1298	56330	73763
1299	56372	73718
1300	56412	73670
1301	56449	73619
1302	56493	73575
1303	56535	73530
1304	56575	73482
1305	56618	73438
1306	56660	73394
1307	56703	73350
1308	56741	73299
1309	56788	73261
1310	56870	73267
1311	56929	73244
1312	56983	73215
1313	57040	73188
1314	57111	73180
1315	57163	73148
1316	57216	73117
1317	57269	73085
1318	57325	73059
1319	57381	73031
1320	57429	72993
1321	57485	72965
1322	57533	72927
1323	57579	72887
1324	57625	72846
1325	57665	72798
1326	57705	72751
1327	57748	72707
1328	57788	72659
1329	57831	72615
1330	57869	72565
1331	57913	72522
1332	57955	72477
1333	58004	72439
1334	58051	72400
1335	58089	72350
1336	58130	72304
1337	58168	72254
1338	58211	72209
1339	58250	72161
1340	58296	72120
1341	58344	72082
1342	58389	72041
1343	58433	71998
1344	58474	71952
1345	58517	71908
1346	58559	71862
1347	58598	71813
